os-prober 1.81-1
ostree 2022.7-1
oxygen 5.26.4-1
oxygen-icons 1:5.100.0-1
oxygen-sounds 5.26.4-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
packagekit 1.2.6-1
packagekit-qt5 1.1.0-1
pacman 6.0.2-5
pacman-mirrors 4.23.2-2
pam 1.5.2-1
pamac-cli 10.4.3-1
pamac-gtk 10.4.3-1
pamac-tray-icon-plasma 0.1.2-4
pambase 20221020-1
pango 1:1.50.12-1
pangomm 2.46.3-1
papirus-icon-theme 20221201-1
papirus-maia-icon-theme 20200702-1
parted 3.5-1
partitionmanager 22.08.3-1
patch 2.7.6-8
pciutils 3.9.0-1
pcre 8.45-3
pcre2 10.40-3
pcsclite 1.9.9-1
perl 5.36.0-1
perl-alien-build 2.73-1
perl-alien-libxml2 0.19-1
perl-capture-tiny 0.48-6
perl-clone 0.45-4
perl-dbi 1.643-4
perl-encode-locale 1.05-9
perl-error 0.17029-4
perl-ffi-checklib 0.31-2
perl-file-basedir 0.09-2
perl-file-chdir 0.1011-4
perl-file-desktopentry 0.22-9
perl-file-listing 6.15-2
perl-file-mimeinfo 0.33-1
perl-file-which 1.27-2
perl-html-parser 3.80-1
perl-html-tagset 3.20-12
perl-http-cookies 6.10-3
perl-http-daemon 6.14-2
perl-http-date 6.05-5
perl-http-message 6.44-1
perl-http-negotiate 6.01-10
perl-io-html 1.004-3
perl-ipc-system-simple 1.30-4
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-2
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-parse-yapp 1.21-5
perl-path-tiny 0.142-1
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.17-1
perl-www-robotrules 6.02-10
perl-xml-libxml 2.0208-1
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-4
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.900-1
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-3
pinentry 1.2.1-1
pipewire 1:0.3.61-1
pipewire-media-session 1:0.4.1-2
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.0-1
pkgfile 21-2
plasma-browser-integration 5.26.4-1
plasma-desktop 5.26.4-1
plasma-framework 5.100.1-1
plasma-integration 5.26.4-1
